Fund ID,Department ID,Program ID,Account ID,Fund,Department,Description,Estimates 2022
1001,41020,101,560625,General Fund,Village Manager's Office (VMO),Clothing,-
1001,41020,101,560638,General Fund,Village Manager's Office (VMO),Special Events,"-4,500"
1001,41110,101,510501,General Fund,Communication,Regular Salaries,"-322,049"
1001,41110,101,510503,General Fund,Communication,Overtime,-
1001,41110,101,510506,General Fund,Communication,"Equip Allow (Auto,Phone,Tools)",-504
1001,41110,101,520515,General Fund,Communication,Health Insurance Opt Out,-
1001,41110,101,520520,General Fund,Communication,Life Insurance Expense,-372
1001,41110,101,520521,General Fund,Communication,Health Insurance Expense,"-61,488"
1001,41110,101,520522,General Fund,Communication,Social Security Expense,"-19,967"
1001,41110,101,520523,General Fund,Communication,Medicare Expense,"-4,670"
1001,41110,101,520527,General Fund,Communication,IMRF Contributions,"-17,906"
1001,41110,101,530650,General Fund,Communication,Conferences Training,-750
1001,41110,101,530660,General Fund,Communication,General Contractuals,"-121,750"
1001,41110,113,530660,General Fund,Communication,General Contractuals,-
1001,41110,101,530667,General Fund,Communication,External Support,"-12,500"
1001,41110,113,530667,General Fund,Communication,External Support,-
1001,41110,101,550601,General Fund,Communication,Printing,"-31,500"
1001,41110,101,550602,General Fund,Communication,Membership Dues,"-1,200"
1001,41110,101,550603,General Fund,Communication,Postage,"-28,050"
1001,41110,101,550605,General Fund,Communication,Travel & Mileage Reimbursement,-50
1001,41110,101,550606,General Fund,Communication,Books & Subscriptions,-500
1001,41110,101,550666,General Fund,Communication,Public Information Promotions,-
1001,41110,101,560620,General Fund,Communication,Office Supplies,-300
1001,41110,101,560631,General Fund,Communication,Operational Supplies,"-2,500"
1001,41110,113,560631,General Fund,Communication,Operational Supplies,-
1001,41110,101,570710,General Fund,Communication,Equipment,"-15,000"
1001,41110,101,570711,General Fund,Communication,Software,"-3,800"
1001,41080,101,510501,General Fund,HR - Human Resources,Regular Salaries,"-340,863"
1001,41080,101,510503,General Fund,HR - Human Resources,Overtime,"-1,000"
1001,41080,101,510515,General Fund,HR - Human Resources,Comp Time,-
1001,41080,101,510506,General Fund,HR - Human Resources,"Equip Allow (Auto,Phone,Tools)",-504
1001,41080,101,510519,General Fund,HR - Human Resources,Vacation Time Payout,-
1001,41080,101,520505,General Fund,HR - Human Resources,Tuition Reimbursement,"-5,000"
1001,41080,101,520515,General Fund,HR - Human Resources,Health Insurance Opt Out,-
1001,41080,101,520520,General Fund,HR - Human Resources,Life Insurance Expense,-349
1001,41080,101,520521,General Fund,HR - Human Resources,Health Insurance Expense,"-73,234"
1001,41080,101,520522,General Fund,HR - Human Resources,Social Security Expense,"-22,484"
1001,41080,101,520523,General Fund,HR - Human Resources,Medicare Expense,"-4,943"
1001,41080,101,520527,General Fund,HR - Human Resources,IMRF Contributions,"-18,952"
1001,41080,133,520668,General Fund,HR - Human Resources,Unemployment Ins Payments,"-25,000"
1001,41080,101,530646,General Fund,HR - Human Resources,Pre-employment Testing,"-18,000"
1001,41080,101,530642,General Fund,HR - Human Resources,Background Check,"-7,500"
1001,41080,134,530642,General Fund,HR - Human Resources,Background Check,"-2,500"
1001,41080,101,530650,General Fund,HR - Human Resources,Conferences Training,"-5,000"
1001,41080,131,530650,General Fund,HR - Human Resources,Conferences Training,-
1001,41080,101,530652,General Fund,HR - Human Resources,Training Services,"-30,000"
1001,41080,134,530655,General Fund,HR - Human Resources,Consultant Fees,-
1001,41080,101,530658,General Fund,HR - Human Resources,Temporary Services,"-50,000"
1001,41080,101,530667,General Fund,HR - Human Resources,External Support,"-60,000"
1001,41080,131,530667,General Fund,HR - Human Resources,External Support,-
1001,41080,134,530678,General Fund,HR - Human Resources,Medical Fees,"-2,500"
1001,41080,134,530667,General Fund,HR - Human Resources,External Support,"-74,000"
1001,41080,101,550601,General Fund,HR - Human Resources,Printing,-250
1001,41080,101,550602,General Fund,HR - Human Resources,Membership Dues,"-5,000"
1001,41080,101,550603,General Fund,HR - Human Resources,Postage,"-1,000"
1001,41080,101,550605,General Fund,HR - Human Resources,Travel & Mileage Reimbursement,-200
1001,41080,101,550606,General Fund,HR - Human Resources,Books & Subscriptions,-200
1001,41080,101,560620,General Fund,HR - Human Resources,Office Supplies,"-2,000"
1001,41080,131,560620,General Fund,HR - Human Resources,Office Supplies,-
1001,41080,132,560620,General Fund,HR - Human Resources,Office Supplies,-
1001,41080,133,560620,General Fund,HR - Human Resources,Office Supplies,-
1001,41080,134,560620,General Fund,HR - Human Resources,Office Supplies,-
1001,41080,134,550652,General Fund,HR - Human Resources,Legal Postings and Doc. Fees,-
1001,41080,101,550671,General Fund,HR - Human Resources,Office Machine Service,-200
1001,41080,101,560616,General Fund,HR - Human Resources,Toner Cartridges,"-1,000"
1001,41080,101,560638,General Fund,HR - Human Resources,Special Events,"-1,000"
1001,41080,101,560639,General Fund,HR - Human Resources,Advertising,"-15,000"
1001,41080,134,560639,General Fund,HR - Human Resources,Advertising,-
1001,41080,101,560651,General Fund,HR - Human Resources,Employees Awards Recognition,"-2,000"
1001,41080,101,560652,General Fund,HR - Human Resources,Employee Physicals,"-10,000"
1001,41070,101,510501,General Fund,LEGAL - Law,Regular Salaries,"-385,652"
1001,41070,101,510503,General Fund,LEGAL - Law,Overtime,"-1,000"
1001,41070,101,510506,General Fund,LEGAL - Law,"Equip Allow (Auto,Phone,Tools)",-504
1001,41070,101,520520,General Fund,LEGAL - Law,Life Insurance Expense,-279
1001,41070,101,520521,General Fund,LEGAL - Law,Health Insurance Expense,"-25,092"
1001,41070,101,520522,General Fund,LEGAL - Law,Social Security Expense,"-20,300"
1001,41070,101,520523,General Fund,LEGAL - Law,Medicare Expense,"-5,592"
1001,41070,101,520515,General Fund,LEGAL - Law,Health Insurance Opt Out,-
1001,41070,101,520527,General Fund,LEGAL - Law,IMRF Contributions,"-21,442"
1001,41070,101,530650,General Fund,LEGAL - Law,Conferences Training,"-4,000"
1001,41070,101,530658,General Fund,LEGAL - Law,Temporary Services,-
1001,41070,101,530667,General Fund,LEGAL - Law,External Support,"-200,000"
1001,41070,101,550601,General Fund,LEGAL - Law,Printing,-50
1001,41070,101,550602,General Fund,LEGAL - Law,Membership Dues,"-2,000"
1001,41070,101,550603,General Fund,LEGAL - Law,Postage,-500
1001,41070,101,550605,General Fund,LEGAL - Law,Travel & Mileage Reimbursement,"-1,500"
1001,41070,101,550606,General Fund,LEGAL - Law,Books & Subscriptions,"-4,500"
1001,41070,101,560620,General Fund,LEGAL - Law,Office Supplies,"-2,000"
1001,46300,101,510501,General Fund,Community Relations,Regular Salaries,"-178,613"
1001,46300,101,510503,General Fund,Community Relations,Overtime,-
1001,46300,101,510515,General Fund,Community Relations,Comp Time,-
1001,46300,101,510509,General Fund,Community Relations,Comp Time Payout,-
1001,46300,101,520515,General Fund,Community Relations,Health Insurance Opt Out,-
1001,46300,101,520520,General Fund,Community Relations,Life Insurance Expense,-186
1001,46300,101,520521,General Fund,Community Relations,Health Insurance Expense,"-17,069"
1001,46300,101,520522,General Fund,Community Relations,Social Security Expense,"-11,074"
1001,46300,101,520523,General Fund,Community Relations,Medicare Expense,"-2,590"
1001,46300,101,520527,General Fund,Community Relations,IMRF Contributions,"-9,931"
1001,46300,101,530662,General Fund,Community Relations,Boards Commissions Support,-
1001,46300,101,530667,General Fund,Community Relations,External Support,"-22,500"
1001,46300,101,550601,General Fund,Community Relations,Printing,"-1,000"
1001,46300,101,550602,General Fund,Community Relations,Membership Dues,-50
1001,46300,101,550603,General Fund,Community Relations,Postage,-100
1001,46300,101,530650,General Fund,Community Relations,Conferences Training,"-1,000"
1001,46300,101,560620,General Fund,Community Relations,Office Supplies,-500
1001,46202,101,510501,General Fund,DCS - Planning Division,Regular Salaries,"-264,476"
1001,46202,101,510503,General Fund,DCS - Planning Division,Overtime,-
1001,46202,101,510515,General Fund,DCS - Planning Division,Comp Time,-
1001,46202,101,510509,General Fund,DCS - Planning Division,Comp Time Payout,-
1001,46202,101,520515,General Fund,DCS - Planning Division,Health Insurance Opt Out,-
1001,46202,101,520520,General Fund,DCS - Planning Division,Life Insurance Expense,-279
1001,46202,101,520521,General Fund,DCS - Planning Division,Health Insurance Expense,"-56,223"
1001,46202,101,520522,General Fund,DCS - Planning Division,Social Security Expense,"-16,398"
1001,46202,101,520523,General Fund,DCS - Planning Division,Medicare Expense,"-3,835"
1001,46202,101,520527,General Fund,DCS - Planning Division,IMRF Contributions,"-14,705"
1001,46202,101,530650,General Fund,DCS - Planning Division,Conferences Training,"-3,900"
1001,46202,101,530667,General Fund,DCS - Planning Division,External Support,"-37,600"
1001,46202,101,550601,General Fund,DCS - Planning Division,Printing,-100
1001,46202,101,550602,General Fund,DCS - Planning Division,Membership Dues,"-1,730"
1001,46202,101,550603,General Fund,DCS - Planning Division,Postage,-
1001,46202,101,550605,General Fund,DCS - Planning Division,Travel & Mileage Reimbursement,-50
1001,46202,101,550606,General Fund,DCS - Planning Division,Books & Subscriptions,-880
1001,46202,101,550652,General Fund,DCS - Planning Division,Legal Postings and Doc. Fees,"-8,000"
1001,46202,101,570720,General Fund,DCS - Planning Division,Computer Equipment,-
1001,46206,101,510501,General Fund,DCS - Neighborhood Services,Regular Salaries,"-773,907"
1001,46206,101,510503,General Fund,DCS - Neighborhood Services,Overtime,"-3,500"
1001,46206,101,510515,General Fund,DCS - Neighborhood Services,Comp Time,-
1001,46206,101,510999,General Fund,DCS - Neighborhood Services,Grant Admin. - Salaries,"148,308"
1001,46206,101,510506,General Fund,DCS - Neighborhood Services,"Equip Allow (Auto,Phone,Tools)",-
1001,46206,101,510509,General Fund,DCS - Neighborhood Services,Comp Time Payout,-
1001,46206,101,510519,General Fund,DCS - Neighborhood Services,Vacation Time Payout,-
1001,46206,101,520515,General Fund,DCS - Neighborhood Services,Health Insurance Opt Out,-
1001,46206,101,520520,General Fund,DCS - Neighborhood Services,Life Insurance Expense,"-1,116"
1001,46206,101,520521,General Fund,DCS - Neighborhood Services,Health Insurance Expense,"-148,612"
1001,46206,101,520522,General Fund,DCS - Neighborhood Services,Social Security Expense,"-47,982"
1001,46206,101,520523,General Fund,DCS - Neighborhood Services,Medicare Expense,"-11,222"
1001,46206,101,520527,General Fund,DCS - Neighborhood Services,IMRF Contributions,"-43,029"
1001,46206,101,520536,General Fund,DCS - Neighborhood Services,Dependent Care FSA Match,-
1001,46206,101,520999,General Fund,DCS - Neighborhood Services,Grant Admin. - Benefits,"62,149"
1001,46206,101,530642,General Fund,DCS - Neighborhood Services,Background Check,"-1,500"
1001,46206,101,530650,General Fund,DCS - Neighborhood Services,Conferences Training,"-5,690"
1001,46206,101,530667,General Fund,DCS - Neighborhood Services,External Support,"-25,000"
1001,46206,101,540660,General Fund,DCS - Neighborhood Services,Emergency Services (bps),"-10,000"
1001,46206,101,550601,General Fund,DCS - Neighborhood Services,Printing,-540
1001,46206,101,550602,General Fund,DCS - Neighborhood Services,Membership Dues,"-1,008"
1001,46206,101,550603,General Fund,DCS - Neighborhood Services,Postage,-
1001,46206,201,550605,General Fund,DCS - Neighborhood Services,Travel & Mileage Reimbursement,-100
1001,46206,101,550606,General Fund,DCS - Neighborhood Services,Books and Subscriptions,-940
1001,46206,101,550652,General Fund,DCS - Neighborhood Services,Legal Postings and Doc. Fees,-200
1001,46206,101,560620,General Fund,DCS - Neighborhood Services,Office Supplies,-
1001,46206,101,560625,General Fund,DCS - Neighborhood Services,Clothing,-950
1001,46206,101,560631,General Fund,DCS - Neighborhood Services,Operational Supplies,"-1,545"
1001,46206,101,570711,General Fund,DCS - Neighborhood Services,Software,-
1001,46206,300,585612,General Fund,DCS - Neighborhood Services,Housing Rehab Property Grants,"-150,000"
1001,46206,357,585616,General Fund,DCS - Neighborhood Services,Relocation Expenses,"-5,000"
1001,46206,101,585651,General Fund,DCS - Neighborhood Services,Retail Rehab Grant Programs,-
1001,46206,230,585652,General Fund,DCS - Neighborhood Services,Operating Subsidies- OP Housing Auth.,-
1001,46206,240,585652,General Fund,DCS - Neighborhood Services,Operating Subsidies- OP Reg. Hous. Ctr.,"-300,000"
1001,46206,280,585652,General Fund,DCS - Neighborhood Services,Operating Subsidies- OP Residence Corp.,"-42,500"
1001,46250,101,510501,General Fund,DCS - Permit Processing,Regular Salaries,"-371,780"
1001,46250,101,510503,General Fund,DCS - Permit Processing,Overtime,"-2,500"
1001,46250,101,510509,General Fund,DCS - Permit Processing,Comp Time Payout,-
1001,46250,101,520515,General Fund,DCS - Permit Processing,Health Insurance Opt Out,-
1001,46250,101,510519,General Fund,DCS - Permit Processing,Vacation Time Payout,-
1001,46250,101,520520,General Fund,DCS - Permit Processing,Life Insurance Expense,-512
1001,46250,101,520521,General Fund,DCS - Permit Processing,Health Insurance Expense,"-63,446"
1001,46250,101,520522,General Fund,DCS - Permit Processing,Social Security Expense,"-23,050"
1001,46250,101,520523,General Fund,DCS - Permit Processing,Medicare Expense,"-5,391"
1001,46250,101,520527,General Fund,DCS - Permit Processing,IMRF Contributions,"-20,671"
1001,46250,101,530650,General Fund,DCS - Permit Processing,Conferences Training,"-6,300"
1001,46250,101,530667,General Fund,DCS - Permit Processing,External Support,"-1,050,000"
1001,46250,101,530675,General Fund,DCS - Permit Processing,Bank Charges,"-25,000"
1001,46250,101,550601,General Fund,DCS - Permit Processing,Printing,"-1,500"
1001,46250,101,550602,General Fund,DCS - Permit Processing,Membership Dues,-500
1001,46250,101,550605,General Fund,DCS - Permit Processing,Travel & Mileage Reimbursement,-200
1001,46250,101,550606,General Fund,DCS - Permit Processing,Books & Subscriptions,"-5,000"
1001,46250,101,560620,General Fund,DCS - Permit Processing,Office Supplies,-
1001,46250,101,560631,General Fund,DCS - Permit Processing,Operational Supplies,"-2,000"
1001,46260,101,510501,General Fund,DCS Administration,Regular Salaries,"-295,958"
1001,46260,101,510503,General Fund,DCS Administration,Overtime,-500
1001,46260,101,510506,General Fund,DCS Administration,"Equip Allow (Auto,Phone,Tools)",-168
1001,46260,101,520515,General Fund,DCS Administration,Health Insurance Opt Out,-
1001,46260,101,520520,General Fund,DCS Administration,Life Insurance Expense,-387
1001,46260,101,520521,General Fund,DCS Administration,Health Insurance Expense,"-48,307"
1001,46260,101,520522,General Fund,DCS Administration,Social Security Expense,"-17,594"
1001,46260,101,520523,General Fund,DCS Administration,Medicare Expense,"-4,291"
1001,46260,101,520527,General Fund,DCS Administration,IMRF Contributions,"-16,455"
1001,46260,101,530649,General Fund,DCS Administration,Sales Tax Rebate,"-50,000"
1001,46260,101,530650,General Fund,DCS Administration,Conferences Training,-500
1001,46260,101,530658,General Fund,DCS Administration,Temporary services,-
1001,46260,101,530667,General Fund,DCS Administration,External Support,"-203,076"
1001,46260,101,540668,General Fund,DCS Administration,Business District Outdoor Dining,"-25,000"
1001,46260,101,550601,General Fund,DCS Administration,Printing,-200
1001,46260,101,550602,General Fund,DCS Administration,Membership Dues,"-13,325"
1001,46260,101,550603,General Fund,DCS Administration,Postage,"-4,000"
1001,46260,101,550690,General Fund,DCS Administration,Public Art,"-50,000"
1001,46260,101,550605,General Fund,DCS Administration,Travel & Mileage Reimbursement,-150
1001,46260,101,560620,General Fund,DCS Administration,Office Supplies,"-9,000"
1001,46260,101,570665,General Fund,DCS Administration,Census Expenses,-
1001,46260,101,560625,General Fund,DCS Administration,Clothing,-
1001,46260,101,581807,General Fund,DCS Administration,Loan Principal,
1001,46260,101,581808,General Fund,DCS Administration,Loan Interest Expense,
1001,46260,101,583670,General Fund,DCS Administration,Affordable Housing,-
1001,46260,101,591890,General Fund,DCS Administration,Transfer to Other Funds,-
1001,46260,101,585651,General Fund,DCS Administration,Retail Rehab Grants,"-55,000"
1001,46260,231,585652,General Fund,DCS Administration,Operating Subsidies- Visit OP,"-175,000"
1001,46260,232,585652,General Fund,DCS Administration,Operating Subsidies- OPEDC,"-571,500"
1001,46260,233,585652,General Fund,DCS Administration,Operating Subsidies- OP Arts Council,"-184,500"
1001,41300,101,510501,General Fund,Finance,Regular Salaries,"-629,216"
1001,41300,171,510501,General Fund,Finance,Regular Salaries,-
1001,41300,101,510502,General Fund,Finance,Merit Incentives,"-120,000"
1001,41300,101,510503,General Fund,Finance,Overtime,"-10,000"
1001,41300,101,510507,General Fund,Finance,Estimated COLA Increases,"-380,000"
1001,41300,101,510515,General Fund,Finance,Comp Time,-
1001,41300,101,510522,General Fund,Finance,Turnover savings- Villagewide,"1,500,000"
1001,41300,101,510523,General Fund,Finance,Health Insurance Offset,-
1001,41300,101,510999,General Fund,Finance,Grant Admin. - Salaries,700
1001,41300,101,510506,General Fund,Finance,"Equip Allow (Auto,Phone,Tools)","-1,512"
1001,41300,101,510519,General Fund,Finance,Vacation Time Payout,-
1001,41300,101,520515,General Fund,Finance,Health Insurance Opt Out,"-55,000"
1001,41300,101,520520,General Fund,Finance,Life Insurance Expense,-651
1001,41300,101,520521,General Fund,Finance,Health Insurance Expense,"-115,041"
1001,41300,101,520522,General Fund,Finance,Social Security Expense,"-36,769"
1001,41300,171,520522,General Fund,Finance,Social Security Expense,-
1001,41300,101,520523,General Fund,Finance,Medicare Expense,"-9,124"
1001,41300,171,520523,General Fund,Finance,Medicare Expense,-
1001,41300,101,520527,General Fund,Finance,IMRF Contributions,"-34,984"
1001,41300,171,520527,General Fund,Finance,IMRF Contributions,-
1001,41300,101,520536,General Fund,Finance,Dependent Care FSA Match,-
1001,41300,101,520999,General Fund,Finance,Grant Admin. - Benefits,250
1001,41300,101,530650,General Fund,Finance,Conferences Training,"-5,700"
1001,41300,101,530654,General Fund,Finance,Collection Agency Expense,"-10,000"
1001,41300,101,530658,General Fund,Finance,Temporary Services,-
1001,41300,101,530660,General Fund,Finance,General Contractuals,-
1001,41300,101,530667,General Fund,Finance,External Support,"-85,700"
1001,41300,101,530668,General Fund,Finance,ADP Payroll Services,-
1001,41300,101,530670,General Fund,Finance,Audit Service Fees,"-71,355"
1001,41300,101,530675,General Fund,Finance,Bank Charges,"-190,000"
1001,41300,175,540690,General Fund,Finance,Telecomminication Charges,-
1001,41300,101,550601,General Fund,Finance,Printing,"-8,000"
1001,41300,101,550602,General Fund,Finance,Membership Dues,"-3,000"
1001,41300,101,550603,General Fund,Finance,Postage,"-2,000"
1001,41300,101,550605,General Fund,Finance,Travel & Mileage Reimbursement,-200
1001,41300,101,550606,General Fund,Finance,Books & Subscriptions,-
1001,41300,101,550652,General Fund,Finance,Legal Postings and Doc. Fees,"-2,000"
1001,41300,101,550656,General Fund,Finance,Miscellaneous Expense,-
1001,41300,101,550663,General Fund,Finance,Software License Updates,"-73,000"
1001,41300,101,560616,General Fund,Finance,Toner Cartridges,-
1001,41300,101,560617,General Fund,Finance,Paper Supply,"-10,000"
1001,41300,101,560620,General Fund,Finance,Office Supplies,"-4,500"
1001,41300,171,560620,General Fund,Finance,Office Supplies,-
1001,41300,101,560623,General Fund,Finance,Cleaning Supplies,-
1001,41300,101,560625,General Fund,Finance,Clothing,-
1001,41300,101,560670,General Fund,Finance,Equipment Rental,"-40,000"
1001,41300,101,570710,General Fund,Finance,Equipment,
1001,41300,101,581804,General Fund,Finance,Penalties & Fines,
1001,41300,101,591825,General Fund,Finance,Transfer To Debt Service Fund,"-500,000"
1001,41300,101,591826,General Fund,Finance,Transfer To Sir Fund,"-700,000"
1001,41300,101,591860,General Fund,Finance,Transfer To Parking,"-40,000"
1001,41300,101,591890,General Fund,Finance,Transfer to Other Funds,-
1001,41300,101,591895,General Fund,Finance,Transfer To Cip Fund,"-4,000,000"
1001,42500,101,510501,General Fund,FIRE - Admin,Regular Salaries,"-616,086"
1001,42500,101,510503,General Fund,FIRE - Admin,Overtime,-
1001,42500,101,520519,General Fund,FIRE - Admin,Vacation Time Payout,-
1001,42500,101,520520,General Fund,FIRE - Admin,Life Insurance Expense,-465
1001,42500,101,520521,General Fund,FIRE - Admin,Health Insurance Expense,"-108,667"
1001,42500,101,520522,General Fund,FIRE - Admin,Social Security Expense,"-6,659"
1001,42500,101,520523,General Fund,FIRE - Admin,Medicare Expense,"-6,656"
1001,42500,101,520525,General Fund,FIRE - Admin,Fire Pension Contributions,"-6,512,755"
1001,42500,101,520527,General Fund,FIRE - Admin,IMRF Contributions,"-2,906"
1001,42500,101,530650,General Fund,FIRE - Admin,Conferences Training,"-4,000"
1001,42500,101,530667,General Fund,FIRE - Admin,External Support,"-69,200"
1001,42500,101,550601,General Fund,FIRE - Admin,Printing,-250
1001,42500,101,550602,General Fund,FIRE - Admin,Membership Dues,"-12,550"
1001,42500,101,550603,General Fund,FIRE - Admin,Postage,"-1,000"
1001,42500,101,550671,General Fund,FIRE - Admin,Office Machine Service,"-3,000"
1001,42500,101,560620,General Fund,FIRE - Admin,Office Supplies,"-4,000"
1001,42500,101,560625,General Fund,FIRE - Admin,Clothing,"-3,000"
1001,42500,101,560638,General Fund,FIRE - Admin,Special Events,"-1,000"
1001,42510,101,510501,General Fund,FIRE - Operations,Regular Salaries,"-6,964,240"
1001,42510,101,510503,General Fund,FIRE - Operations,Overtime,"-500,000"
1001,42510,101,510999,General Fund,FIRE - Operations,Contra Salaries,-
1001,42510,101,510509,General Fund,FIRE - Operations,Comp Time Payout,-
1001,42510,101,510510,General Fund,FIRE - Operations,Sick Time Payout,"-65,000"
1001,42510,101,510516,General Fund,FIRE - Operations,FD 7G Pay,"-150,000"
1001,42510,101,510519,General Fund,FIRE - Operations,Vacation Time Payout,"-40,000"
1001,42510,101,510521,General Fund,FIRE - Operations,Holiday Pay,"-101,940"
1001,42510,101,520515,General Fund,FIRE - Operations,Health Insurance Opt Out,-
1001,42510,101,520520,General Fund,FIRE - Operations,Life Insurance Expense,"-6,045"
1001,42510,101,520521,General Fund,FIRE - Operations,Health Insurance Expense,"-1,302,669"
1001,42510,101,520522,General Fund,FIRE - Operations,Social Security Expense,"-15,000"
1001,42510,101,520523,General Fund,FIRE - Operations,Medicare Expense,"-105,902"
1001,42510,101,520525,General Fund,FIRE - Operations,Fire Pension Contributions,-
1001,42510,101,520536,General Fund,FIRE - Operations,Dependent Care FSA Match,-
1001,42510,101,520999,General Fund,FIRE - Operations,Contra Benefits,-
1001,42510,101,530660,General Fund,FIRE - Operations,General Contractuals,"-65,100"
1001,42510,101,530675,General Fund,FIRE - Operations,Bank Charges,-
1001,42510,101,530681,General Fund,FIRE - Operations,WSCDC Contract,"-841,500"
1001,42510,101,550673,General Fund,FIRE - Operations,Repairs,"-16,800"
1001,42510,101,540690,General Fund,FIRE - Operations,Telecommunication Charges,"-12,000"
1001,42510,101,560625,General Fund,FIRE - Operations,Clothing,"-107,000"
1001,42510,101,560630,General Fund,FIRE - Operations,Small Tools,"-27,000"
1001,42510,101,560631,General Fund,FIRE - Operations,Operational Supplies,-
1001,42510,101,570710,General Fund,FIRE - Operations,Equipment,"-20,000"
1001,42510,101,570720,General Fund,FIRE - Operations,Computer Equipment,"-21,900"
1001,42520,101,530660,General Fund,FIRE - EMS,General Contractuals,"-13,500"
1001,42520,101,550601,General Fund,FIRE - EMS,Printing,-100
1001,42520,101,550602,General Fund,FIRE - EMS,Membership Dues,"-1,000"
1001,42520,101,550673,General Fund,FIRE - EMS,Repairs,"-2,500"
1001,42520,101,560631,General Fund,FIRE - EMS,Operational Supplies,"-30,500"
1001,42520,101,570710,General Fund,FIRE - EMS,Equipment,"-6,000"
1001,42530,101,550602,General Fund,FIRE - Prev. and Inv.,Membership Dues,"-2,400"
1001,42530,101,550673,General Fund,FIRE - Prev. and Inv.,Repairs,-500
1001,42530,101,560630,General Fund,FIRE - Prev. and Inv.,Small Tools,"-1,000"
1001,42540,101,530650,General Fund,FIRE - Training and Public Ed.,Conferences Training,"-50,000"
1001,42540,101,550601,General Fund,FIRE - Training and Public Ed.,Printing,-500
1001,42540,101,550602,General Fund,FIRE - Training and Public Ed.,Membership Dues,"-1,350"
1001,42540,101,550673,General Fund,FIRE - Training and Public Ed.,Repairs,"-2,000"
1001,42540,101,560630,General Fund,FIRE - Training and Public Ed.,Small Tools,-
1001,42540,101,560631,General Fund,FIRE - Training and Public Ed.,Operational Supplies,"-20,000"
