Fund ID,Department ID,Program ID,Account ID,Fund Name,Department,Description,2013 Actual,2014 Actual,2015 Actual
1001,41080,134,510501,General Fund,HR ‐ Human Resources,Regular Salaries,"-17,366","-4,255","-4,267"
1001,41080,135,510501,General Fund,HR ‐ Human Resources,Regular Salaries,"-12,988","-4,253","-4,264"
1001,41080,101,510503,General Fund,HR ‐ Human Resources,Overtime,-38,‐,‐
1001,41080,131,510503,General Fund,HR ‐ Human Resources,Overtime,-7,‐,‐
1001,41080,133,510503,General Fund,HR ‐ Human Resources,Overtime,-7,‐,‐
1001,41080,134,510503,General Fund,HR ‐ Human Resources,Overtime,-7,‐,‐
1001,41080,135,510503,General Fund,HR ‐ Human Resources,Overtime,-5,‐,‐
1001,41080,101,510519,General Fund,HR ‐ Human Resources,Vacation Time Payout,‐,‐,"-3,343"
1001,41080,101,510999,General Fund,HR ‐ Human Resources,Grant Admin. ‐ Salaries,"2,052","3,015",‐
1001,41080,101,520505,General Fund,HR ‐ Human Resources,Tuition Reimbursement,"-7,001","-4,661","-3,826"
1001,41080,135,520515,General Fund,HR ‐ Human Resources,Health Insurance Opt Out,"-2,407","-2,407","-2,307"
1001,41080,101,520520,General Fund,HR ‐ Human Resources,Life Insurance Expense,-27,-98,-90
1001,41080,131,520520,General Fund,HR ‐ Human Resources,Life Insurance Expense,-24,-7,-5
1001,41080,133,520520,General Fund,HR ‐ Human Resources,Life Insurance Expense,-12,-5,-5
1001,41080,134,520520,General Fund,HR ‐ Human Resources,Life Insurance Expense,-14,-5,-5
1001,41080,135,520520,General Fund,HR ‐ Human Resources,Life Insurance Expense,-4,-5,-5
1001,41080,101,520521,General Fund,HR ‐ Human Resources,Health Insurance Expense,-466,"-18,321","-14,936"
1001,41080,131,520521,General Fund,HR ‐ Human Resources,Health Insurance Expense,"-4,659",‐,‐
1001,41080,133,520521,General Fund,HR ‐ Human Resources,Health Insurance Expense,"-1,864",‐,‐
1001,41080,134,520521,General Fund,HR ‐ Human Resources,Health Insurance Expense,"-2,329",‐,‐
1001,41080,101,520522,General Fund,HR ‐ Human Resources,Social Security Expense,"-1,817","-7,754","-6,099"
1001,41080,131,520522,General Fund,HR ‐ Human Resources,Social Security Expense,"-2,857",-259,-259
1001,41080,133,520522,General Fund,HR ‐ Human Resources,Social Security Expense,"-1,299",-259,-259
1001,41080,134,520522,General Fund,HR ‐ Human Resources,Social Security Expense,"-1,039",-259,-259
1001,41080,135,520522,General Fund,HR ‐ Human Resources,Social Security Expense,-926,-405,-399
1001,41080,101,520523,General Fund,HR ‐ Human Resources,Medicare Expense,-425,"-1,813","-1,427"
1001,41080,131,520523,General Fund,HR ‐ Human Resources,Medicare Expense,-668,-61,-61
1001,41080,133,520523,General Fund,HR ‐ Human Resources,Medicare Expense,-304,-61,-61
1001,41080,134,520523,General Fund,HR ‐ Human Resources,Medicare Expense,-243,-61,-61
1001,41080,135,520523,General Fund,HR ‐ Human Resources,Medicare Expense,-217,-95,-93
1001,41080,101,520527,General Fund,HR ‐ Human Resources,IMRF Contributions,"-4,309","-20,482","-14,928"
1001,41080,131,520527,General Fund,HR ‐ Human Resources,IMRF Contributions,"-6,932",-648,-605
1001,41080,133,520527,General Fund,HR ‐ Human Resources,IMRF Contributions,"-3,141",-648,-605
1001,41080,134,520527,General Fund,HR ‐ Human Resources,IMRF Contributions,"-2,509",-648,-605
1001,41080,135,520527,General Fund,HR ‐ Human Resources,IMRF Contributions,"-2,224","-1,002",-931
1001,41080,133,520668,General Fund,HR ‐ Human Resources,Unemployment Ins Payments,"-26,788","-14,645",‐
1001,41080,101,530642,General Fund,HR ‐ Human Resources,Background Check,‐,‐,-30
1001,41080,134,530642,General Fund,HR ‐ Human Resources,Background Check,"-3,695","-2,032",-419
1001,41080,101,530650,General Fund,HR ‐ Human Resources,Conferences Training,-389,"-7,683",-720
1001,41080,131,530650,General Fund,HR ‐ Human Resources,Conferences Training,"-1,455",-552,‐
1001,41080,135,530650,General Fund,HR ‐ Human Resources,Conferences Training,‐,-18,‐
1001,41080,101,530652,General Fund,HR ‐ Human Resources,Training Services,"-4,400",‐,‐
1001,41080,134,530652,General Fund,HR ‐ Human Resources,Training Services,-550,"-1,920",‐
1001,41080,135,530652,General Fund,HR ‐ Human Resources,Training Services,"-13,969","-27,620","-9,178"
1001,41080,134,530658,General Fund,HR ‐ Human Resources,Temporary Services,"-4,018",‐,‐
1001,41080,101,530667,General Fund,HR ‐ Human Resources,External Support,"-1,176","-21,303","-20,279"
1001,41080,131,530667,General Fund,HR ‐ Human Resources,External Support,"-26,968","-2,150",‐
1001,41080,133,530667,General Fund,HR ‐ Human Resources,External Support,"-4,705",-63,‐
1001,41080,134,530667,General Fund,HR ‐ Human Resources,External Support,"-165,637","-75,582","-100,050"
1001,41080,135,530667,General Fund,HR ‐ Human Resources,External Support,"-2,353","-4,400",‐
1001,41080,101,550601,General Fund,HR ‐ Human Resources,Printing,-41,‐,‐
1001,41080,101,550602,General Fund,HR ‐ Human Resources,Membership Dues,"-1,341","-2,588","-2,725"
1001,41080,131,550602,General Fund,HR ‐ Human Resources,Membership Dues,-245,-245,-435
1001,41080,134,550602,General Fund,HR ‐ Human Resources,Membership Dues,-390,-390,-390
1001,41080,101,550603,General Fund,HR ‐ Human Resources,Postage,"-1,029",-843,-622
1001,41080,133,550603,General Fund,HR ‐ Human Resources,Postage,‐,-85,-22
1001,41080,134,550603,General Fund,HR ‐ Human Resources,Postage,-887,-220,-144
1001,41080,101,550605,General Fund,HR ‐ Human Resources,Travel & Mileage Reimbursement,-5,‐,‐
1001,41080,134,550605,General Fund,HR ‐ Human Resources,Travel & Mileage Reimbursement,"-1,627",‐,-61
1001,41080,101,550606,General Fund,HR ‐ Human Resources,Books & Subscriptions,-475,‐,‐
1001,41080,134,550652,General Fund,HR ‐ Human Resources,Legal Postings and Doc. Fees,‐,-400,‐
1001,41080,141,550663,General Fund,HR ‐ Human Resources,Software License Updates,"-21,034",‐,‐
1001,41080,101,560620,General Fund,HR ‐ Human Resources,Office Supplies,"-3,855","-3,387","-2,390"
1001,41080,101,560638,General Fund,HR ‐ Human Resources,Special Events,-51,‐,‐
1001,41080,134,560638,General Fund,HR ‐ Human Resources,Special Events,-54,‐,‐
1001,41080,101,560639,General Fund,HR ‐ Human Resources,Advertising,‐,‐,‐
1001,41080,134,560639,General Fund,HR ‐ Human Resources,Advertising,"-4,382","-6,386","-6,938"
1001,41080,101,560651,General Fund,HR ‐ Human Resources,Employees Awards Recognition,‐,‐,‐
1001,41080,101,560652,General Fund,HR ‐ Human Resources,Employee Physicals,‐,‐,‐
1001,41080,134,560652,General Fund,HR ‐ Human Resources,Employee Physicals,"-8,400","-5,400","-6,857"
1001,41080,135,560652,General Fund,HR ‐ Human Resources,Office Supplies,‐,-163,‐
1001,41080,134,560655,General Fund,HR ‐ Human Resources,Reimbursements,-103,‐,‐
1001,41080,101,580679,General Fund,HR ‐ Human Resources,Liability Claims,‐,"-6,735",‐
1001,41070,101,510501,General Fund,LEGAL ‐ Law,Regular Salaries,"-105,856","-208,496","-207,123"
1001,41070,101,510503,General Fund,LEGAL ‐ Law,Overtime,‐,‐,‐
1001,41070,101,510506,General Fund,LEGAL ‐ Law,"Equip Allow (Auto,Phone,Tools)",‐,-475,-505
1001,41070,101,510999,General Fund,LEGAL ‐ Law,Grant Admin. ‐ Salaries,"3,079","5,255",‐
1001,41070,101,520520,General Fund,LEGAL ‐ Law,Life Insurance Expense,-69,-125,-148
1001,41070,101,520521,General Fund,LEGAL ‐ Law,Health Insurance Expense,"-26,309","-41,876","-49,565"
1001,41070,101,520522,General Fund,LEGAL ‐ Law,Social Security Expense,"-6,094","-10,591","-10,084"
1001,41070,101,520523,General Fund,LEGAL ‐ Law,Medicare Expense,"-1,425","-2,832","-2,800"
1001,41070,101,520527,General Fund,LEGAL ‐ Law,IMRF Contributions,"-15,286","-31,685","-29,349"
1001,41070,101,520999,General Fund,LEGAL ‐ Law,Grant Admin. ‐ Benefits,‐,281,‐
1001,41070,101,530650,General Fund,LEGAL ‐ Law,Conferences Training,"-2,045","-1,115","-4,646"
1001,41070,101,530658,General Fund,LEGAL ‐ Law,Temporary Services,‐,"-1,815",‐
1001,41070,101,530660,General Fund,LEGAL ‐ Law,General Contractuals,‐,‐,-4
1001,41070,101,530667,General Fund,LEGAL ‐ Law,External Support,"-361,331","-266,467","-220,637"
1001,41070,101,530667,General Fund,LEGAL ‐ Law,External Support,‐,‐,‐
1001,41070,101,530680,General Fund,LEGAL ‐ Law,Legal Fees Liability Claims,‐,-36,‐
1001,41070,101,550601,General Fund,LEGAL ‐ Law,Printing,-41,‐,‐
1001,41070,101,550602,General Fund,LEGAL ‐ Law,Membership Dues,"-3,587","-1,875","-2,245"
1001,41070,101,550603,General Fund,LEGAL ‐ Law,Postage,-604,-628,"-1,208"
1001,41070,101,550605,General Fund,LEGAL ‐ Law,Travel & Mileage Reimbursement,‐,-232,-422
1001,41070,101,550606,General Fund,LEGAL ‐ Law,Books & Subscriptions,"-20,669","-12,085","-5,378"
1001,41070,101,560620,General Fund,LEGAL ‐ Law,Office Supplies,"-2,360","-1,674","-2,990"
1001,41070,101,560638,General Fund,LEGAL ‐ Law,Special Events,‐,‐,-105
1001,41070,101,560670,General Fund,LEGAL ‐ Law,Equipment Rental,-956,-65,‐
1001,46300,101,510501,General Fund,Community Relations,Regular Salaries,"-51,037","-51,000","-51,680"
1001,46300,311,510501,General Fund,Community Relations,Regular Salaries,"-51,037","-51,000","-51,680"
1001,46300,101,510518,General Fund,Community Relations,Seasonal Employees,‐,‐,‐
1001,46300,101,520515,General Fund,Community Relations,Health Insurance Opt Out,‐,"-1,504",‐
1001,46300,311,520515,General Fund,Community Relations,Health Insurance Opt Out,"-1,504",‐,"-1,442"
1001,46300,101,520520,General Fund,Community Relations,Life Insurance Expense,-42,-42,-49
1001,46300,311,520520,General Fund,Community Relations,Life Insurance Expense,-42,-42,-49
1001,46300,101,520521,General Fund,Community Relations,Health Insurance Expense,"-3,259","-3,679","-4,272"
1001,46300,311,520521,General Fund,Community Relations,Health Insurance Expense,"-3,259","-3,679","-4,272"
1001,46300,101,520522,General Fund,Community Relations,Social Security Expense,"-3,126","-3,102","-3,143"
1001,46300,311,520522,General Fund,Community Relations,Social Security Expense,"-3,218","-3,193","-3,231"
1001,46300,101,520523,General Fund,Community Relations,Medicare Expense,-731,-725,-735
1001,46300,311,520523,General Fund,Community Relations,Medicare Expense,-752,-747,-756
1001,46300,101,520527,General Fund,Community Relations,IMRF Contributions,"-7,370","-7,748","-7,323"
1001,46300,311,520527,General Fund,Community Relations,IMRF Contributions,"-7,587","-7,969","-7,527"
1001,46300,101,530662,General Fund,Community Relations,Boards Commissions Support,‐,-268,-670
1001,46300,314,530662,General Fund,Community Relations,Boards Commissions Support,-975,‐,‐
1001,46300,101,530667,General Fund,Community Relations,External Support,‐,"-10,605",-180
1001,46300,311,530667,General Fund,Community Relations,External Support,"-2,020",‐,"-10,500"
1001,46300,312,530667,General Fund,Community Relations,External Support,"-8,000",‐,‐
1001,46300,101,550601,General Fund,Community Relations,Printing,‐,‐,‐
1001,46300,311,550601,General Fund,Community Relations,Printing,-41,‐,‐
1001,46300,101,550602,General Fund,Community Relations,Membership Dues,‐,‐,-50
1001,46300,311,550602,General Fund,Community Relations,Membership Dues,-50,‐,‐
1001,46300,101,550603,General Fund,Community Relations,Postage,-54,-92,-147
1001,46300,101,550666,General Fund,Community Relations,Public Information Promotions,-550,-500,-684
1001,46300,101,560620,General Fund,Community Relations,Office Supplies,-159,-455,"-1,084"
1001,46300,311,560638,General Fund,Community Relations,Special Events,"-9,493","-11,002","-10,213"
1001,46202,101,510501,General Fund,DCS ‐ Planning Division,Regular Salaries,"-252,215","-259,038","-241,980"
1001,46202,101,510503,General Fund,DCS ‐ Planning Division,Overtime,-24,-25,-103
1001,46202,101,520515,General Fund,DCS ‐ Planning Division,Health Insurance Opt Out,"-2,407","-2,407","-2,307"
1001,46202,101,520520,General Fund,DCS ‐ Planning Division,Life Insurance Expense,-168,-208,-221
1001,46202,101,520521,General Fund,DCS ‐ Planning Division,Health Insurance Expense,"-26,846","-27,634","-31,946"
1001,46202,101,520522,General Fund,DCS ‐ Planning Division,Social Security Expense,"-15,177","-15,589","-14,677"
1001,46202,101,520523,General Fund,DCS ‐ Planning Division,Medicare Expense,"-3,549","-3,646","-3,432"
1001,46202,101,520527,General Fund,DCS ‐ Planning Division,IMRF Contributions,"-33,529","-36,275","-34,061"
1001,46202,101,530650,General Fund,DCS ‐ Planning Division,Conferences Training,"-1,729","-2,095","-5,526"
1001,46202,101,530662,General Fund,DCS ‐ Planning Division,Boards Commissions Support,‐,-89,-78
1001,46202,103,530662,General Fund,DCS ‐ Planning Division,Boards Commissions Support,‐,-431,-28
1001,46202,321,530662,General Fund,DCS ‐ Planning Division,Boards Commissions Support,-168,-490,-518
1001,46202,332,530662,General Fund,DCS ‐ Planning Division,Boards Commissions Support,-493,"-1,181","-5,324"
1001,46202,101,530667,General Fund,DCS ‐ Planning Division,External Support,"-6,772","-18,350","-71,885"
1001,46202,103,530667,General Fund,DCS ‐ Planning Division,External Support,‐,"-1,250",‐
1001,46202,332,530667,General Fund,DCS ‐ Planning Division,External Support,‐,‐,-17
1001,46202,101,550601,General Fund,DCS ‐ Planning Division,Printing,"-2,285","-2,154",-104
1001,46202,101,550602,General Fund,DCS ‐ Planning Division,Membership Dues,"-2,377","-1,834","-1,899"
1001,46202,332,550602,General Fund,DCS ‐ Planning Division,Membership Dues,-340,-50,-50
1001,46202,101,550603,General Fund,DCS ‐ Planning Division,Postage,-747,-273,-377
1001,46202,101,550605,General Fund,DCS ‐ Planning Division,Travel & Mileage Reimbursement,-192,-17,-28
1001,46202,352,550605,General Fund,DCS ‐ Planning Division,Travel & Mileage Reimbursement,-14,‐,‐
1001,46202,101,550606,General Fund,DCS ‐ Planning Division,Books & Subscriptions,-52,"-3,540","-1,277"
1001,46202,101,550652,General Fund,DCS ‐ Planning Division,Legal Postings and Doc. Fees,‐,‐,-495
1001,46202,103,550652,General Fund,DCS ‐ Planning Division,Legal Postings and Doc. Fees,-518,"-3,766","-3,052"
1001,46202,321,550652,General Fund,DCS ‐ Planning Division,Legal Postings and Doc. Fees,-623,-266,-574
1001,46202,332,550652,General Fund,DCS ‐ Planning Division,Legal Postings and Doc. Fees,-189,-630,‐
1001,46202,603,550652,General Fund,DCS ‐ Planning Division,Legal Postings and Doc. Fees,‐,‐,"-4,361"
1001,46202,101,560620,General Fund,DCS ‐ Planning Division,Office Supplies,"-1,438",‐,-797
1001,46202,332,560620,General Fund,DCS ‐ Planning Division,Office Supplies,‐,-736,‐
1001,46202,101,560630,General Fund,DCS ‐ Planning Division,Small Tools,‐,‐,150
1001,46202,603,560630,General Fund,DCS ‐ Planning Division,Small Tools,‐,‐,-150
1001,46202,332,560650,General Fund,DCS ‐ Planning Division,Volunteer Recog Recruitment,‐,"-1,171",‐
1001,46202,101,560670,General Fund,DCS ‐ Planning Division,Equipment Rental,"-1,110",‐,‐
1001,46202,332,560670,General Fund,DCS ‐ Planning Division,Equipment Rental,‐,-341,‐
1001,46205,101,510501,General Fund,DCS ‐ Business Services,Regular Salaries,"-81,392","-155,168","-183,483"
1001,46205,101,510503,General Fund,DCS ‐ Business Services,Overtime,‐,-154,‐
1001,46205,101,520520,General Fund,DCS ‐ Business Services,Life Insurance Expense,-81,-78,-151
1001,46205,101,520521,General Fund,DCS ‐ Business Services,Health Insurance Expense,"-11,297","-21,849","-30,457"
1001,46205,101,520522,General Fund,DCS ‐ Business Services,Social Security Expense,"-4,877","-9,304","-10,878"
1001,46205,101,520523,General Fund,DCS ‐ Business Services,Medicare Expense,"-1,141","-2,176","-2,544"
1001,46205,101,520527,General Fund,DCS ‐ Business Services,IMRF Contributions,"-11,753","-23,740","-26,000"
1001,46205,101,530642,General Fund,DCS ‐ Business Services,Background Check,‐,"-1,134","-8,729"
1001,46205,101,530650,General Fund,DCS ‐ Business Services,Conferences Training,"-1,475","-4,854","-2,985"
1001,46205,101,530667,General Fund,DCS ‐ Business Services,External Support,"-715,010","-903,166","-349,425"
1001,46205,101,530667,General Fund,DCS ‐ Business Services,External Support,‐,"-3,276",‐
1001,46205,101,550601,General Fund,DCS ‐ Business Services,Printing,-455,-698,-410
1001,46205,101,550602,General Fund,DCS ‐ Business Services,Membership Dues,"-2,255","-1,927","-2,322"
1001,46205,101,550603,General Fund,DCS ‐ Business Services,Postage,-184,"-1,190",-870
1001,46205,615,550603,General Fund,DCS ‐ Business Services,Postage,‐,‐,-61
1001,46205,101,550605,General Fund,DCS ‐ Business Services,Travel & Mileage Reimbursement,‐,‐,‐
1001,46205,101,550690,General Fund,DCS ‐ Business Services,Public Art,‐,-962,‐
1001,46205,101,550652,General Fund,DCS ‐ Business Services,Legal Postings and Doc. Fees,-289,‐,‐
1001,46205,101,560620,General Fund,DCS ‐ Business Services,Office Supplies,-124,-252,-747
1001,46205,101,560634,General Fund,DCS ‐ Business Services,Sign Replacement,"-3,278",-590,‐
1001,46205,101,560650,General Fund,DCS ‐ Business Services,Volunteer Recog Recruitment,4 88,‐,‐
1001,46205,101,583695,General Fund,DCS ‐ Business Services,OPDC ‐ Contingent liability,‐,"-11,311",‐
1001,46205,101,585651,General Fund,DCS ‐ Business Services,Retail Rehab Grant Programs,‐,"-17,675","-3,407"
1001,46205,233,585652,General Fund,DCS ‐ Business Services,Operating Subsidies,‐,‐,‐
1001,46206,101,510501,General Fund,DCS ‐ Neighborhood Services,Regular Salaries,"-228,042","-336,974","-237,068"
1001,46206,601,510501,General Fund,DCS ‐ Neighborhood Services,Regular Salaries,‐,‐,"-255,003"
1001,46206,101,510503,General Fund,DCS ‐ Neighborhood Services,Overtime,‐,-466,-282
1001,46206,601,510503,General Fund,DCS ‐ Neighborhood Services,Overtime,‐,-180,-406
1001,46206,101,510999,General Fund,DCS ‐ Neighborhood Services,Grant Admin. ‐ Salaries,"108,572","213,956","157,817"
1001,46206,101,510506,General Fund,DCS ‐ Neighborhood Services,"Equip Allow (Auto,Phone,Tools)",‐,‐,-130
1001,46206,101,510519,General Fund,DCS ‐ Neighborhood Services,Vacation Time Payout,‐,‐,-820
1001,46206,601,510519,General Fund,DCS ‐ Neighborhood Services,Vacation Time Payout,‐,‐,"-6,868"
1001,46206,101,520515,General Fund,DCS ‐ Neighborhood Services,Health Insurance Opt Out,"-3,461","-3,420","-3,282"
1001,46206,101,520520,General Fund,DCS ‐ Neighborhood Services,Life Insurance Expense,-165,-193,-262
1001,46206,601,520520,General Fund,DCS ‐ Neighborhood Services,Life Insurance Expense,‐,‐,-155
1001,46206,101,520521,General Fund,DCS ‐ Neighborhood Services,Health Insurance Expense,"-29,849","-45,837","-39,697"
1001,46206,601,520521,General Fund,DCS ‐ Neighborhood Services,Health Insurance Expense,‐,‐,"-27,799"
1001,46206,101,520522,General Fund,DCS ‐ Neighborhood Services,Social Security Expense,"-13,725","-20,360","-16,889"
1001,46206,601,520522,General Fund,DCS ‐ Neighborhood Services,Social Security Expense,‐,‐,"-8,089"
1001,46206,101,520523,General Fund,DCS ‐ Neighborhood Services,Medicare Expense,"-3,210","-4,762","-3,950"
