"Fund ID","Department ID","Program ID","Account ID","Fund","Fund Description","Function","Function Description","Department","Department Description","Description","Actuals 2013","Actuals 2014","Actuals 2015","Actuals 2016","Actuals 2017","Actuals 2018","Actuals 2019","Actuals 2020","Actuals 2021","Estimates 2022","Estimates 2023"
"1001","41010","101","550603","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Postage","28","0","3","1","19","2","28","15","64","75","75"
"1001","41010","101","550601","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Printing","83","221","332","244","361","0","0","0","205","0","200"
"1001","41010","101","550656","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Miscellaneous Expense","0","560","0","0","87","134","0","0","70","200","200"
"1001","41010","101","560620","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Office Supplies","1035","244","347","0","922","217","1223","82","6522","1000","2500"
"1001","41010","101","560625","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Clothing","0","0","0","0","0","0","0","0","0","0","700"
"1001","41010","101","560638","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Special Events","3238","2432","2622","1608","1379","960","1671","0","2690","2500","3500"
"1001","41010","101","560637","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Operational Supplies","0","0","523","0","0","0","0","0","0","0","0"
"1001","41010","101","560631","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Operational Supplies","0","0","50","0","0","0","235","0","0","1000","6000"
"1001","41010","101","510501","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Regular Salaries","54467","54398","53646","54296","80132","92052","107545","115832","119734","115200","115200"
"1001","41010","101","560651","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Employee Awards Recognition","0","0","0","0","0","48","0","0","0","0","0"
"1001","41010","141","530650","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Conferences Training","382","0","1276","0","0","0","0","0","0","0","0"
"1001","41010","142","530650","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Board of Trustees","The Village of Oak Park's Board is comprised of seven part-time elected officials: one President and six Trustees. The Board hires the Village Manager, annually sets goals for the organization, and authorizes budget/appropriations to support the implementation of these goals.","Conferences Training","0","149","0","0","0","0","0","0","0","0","0"
"1001","41020","101","560616","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Toner Cartridges","0","317","1474","1237","0","0","0","0","0","0","0"
"1001","41020","101","570720","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Computer Equipment","0","0","0","0","0","0","0","0","0","0","0"
"1001","41020","101","560631","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Operational Supplies","0","425","0","0","0","0","0","0","0","0","0"
"1001","41020","101","560638","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Special Events","1028","4208","5950","8829","1348","2115","5956","1293","1804","4500","4500"
"1001","41020","101","560625","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Clothing","0","1548","0","0","882","571","436","0","0","0","1000"
"1001","41020","101","560620","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Office Supplies","1806","3109","1897","3384","3376","3261","4570","2740","2932","4000","4000"
"1001","41020","101","530660","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","General Contractuals","0","0","0","0","0","0","0","0","0","0","0"
"1001","41020","101","530662","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Boards Commissions Support","141","0","1979","4313","22745","5937","18268","8598","5931","20000","20000"
"1001","41020","101","530667","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","External Support","178285","225177","521782","299355","397676","370238","472830","77713","397095","922716","902716"
"1001","41020","101","550605","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Travel & Mileage Reimbursement","197","15000","62","25","157","65","87","0","15","50","50"
"1001","41020","101","550606","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Books & Subscriptions","749","886","496","269","625","119","413","0","150","150","150"
"1001","41020","101","550601","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Printing","918","2124","569","30","0","41","41","2920","82","3000","3000"
"1001","41020","101","550603","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Postage","372","823","766","929","195","158","133","107","53","400","400"
"1001","41020","101","550602","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Membership Dues","31839","29546","26601","42661","30973","32000","13815","28406","37233","34500","37400"
"1001","41020","101","560670","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Equipment Rental","4594","1388","0","0","0","0","0","0","0","0","0"
"1001","41020","101","530650","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Conferences Training","6383","9164","4513","11112","4812","7581","8422","907","603","14000","26325"
"1001","41020","101","530651","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Incentives","0","0","0","220","0","0","0","0","0","0","0"
"1001","41020","101","591256","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Meeting Expenses","0","48","0","0","0","0","0","0","0","0","0"
"1001","41020","101","510519","General Fund","The General Fund includes all the operating departments and general operating revenues for the Village. General Fund Expenditures are the expenditures related to the performance of direct Village services, such as police, fire, public works and housing services. General fund expenditures also relate to the performance of administrative services such as finance, human resources, and information technology.","General Government","The General Government function includes departments, personnel, and elected officials responsible for managing the Village's day-to-day operations. These costs are primarily funded through the General Fund.","Village Manager's Office (VMO)","The Village Manager’s Office is responsible for overseeing the day-to-day operations of the Village. The Village Manager is appointed by the Board of Trustees and serves as the chief administrative officer of the Village.","Vacation Time Payout","0","8655","5811","0","0","0","0","0","0","0","0"
